ChEBI	Count	TFIDF	Names	Mass	logP	Class
945	1	1	2,6-dichloroindophenol	268.09492	3.18	['36683', '33853', '50193', '17792', '23117', '33659', '33822', '24783', '33285', '37578', '24471', '33655', '33832', '24651', '50860', '35352', '50860', '24471', '37577', '33675', '33595', '72695', '25806', '33608', '33582', '33285', '51143', '33582', '33675', '36357', '33579', '25367', '50860', '33304', '33674', '33302', '33675', '33579', '23367', '36357', '33582', '33579', '23367', '24431', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
969	2	5	2-(4-Methoxyphenethyl)chromone	280.323	3.75	['23238', '25235', '38445', '51683', '23232', '35618', '22712', '38443', '25698', '33659', '33836', '22727', '36963', '33655', '33832', '33659', '33598', '38104', '38166', '36962', '25806', '33595', '72695', '33655', '33832', '33597', '24532', '36963', '33671', '33285', '33304', '25367', '50860', '33595', '72695', '33285', '5686', '33832', '36962', '25806', '33635', '50860', '33675', '36357', '33582', '25367', '50860', '33595', '72695', '33285', '33304', '33582', '33579', '23367', '33675', '36357', '33582', '25367', '50860', '33675', '23367', '24431', '33579', '33675', '36357', '33582', '33579', '24431', '23367', '33579', '23367', '33675', '24431', '23367', '24431', '33579', '24431', '23367', '24431']
1156	1	2	2-hydroxyestrone	286.36548	3.04	['36857', '33566', '35350', '33570', '33822', '35341', '33853', '24651', '50860', '51958', '18059', '33659', '33822', '25806', '33608', '37577', '33582', '33832', '33635', '50860', '33655', '24651', '33304', '33674', '36357', '33675', '72695', '33595', '33582', '25806', '33608', '37577', '33675', '33579', '23367', '50860', '25367', '33304', '33674', '36357', '33579', '23367', '24431', '33582', '36357', '33675', '23367', '24431', '33675', '33579', '24431', '33579', '23367', '23367', '24431', '24431']
1230	1	2	sophorose	342.297	-2.94	['24405', '36233', '50699', '16646', '78616', '36963', '36962', '25806', '33285', '33304', '50860', '33675', '33582', '33579', '33675', '23367', '33579', '24431', '23367', '24431']
1391	2	3	3,4-methylenedioxymethamphetamine	193.24234	1.9	['35338', '38298', '32952', '27171', '38104', '50047', '33672', '38166', '24532', '36963', '35352', '50860', '33636', '5686', '24532', '33671', '33285', '33832', '36962', '25806', '33285', '51143', '33582', '33595', '5686', '33832', '33635', '50860', '72695', '33304', '50860', '33302', '33675', '25367', '33595', '72695', '33582', '33582', '33675', '33579', '36357', '25367', '50860', '33675', '33579', '23367', '36357', '33582', '33579', '23367', '24431', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
2089	1	1	O-methylserotonin	190.24170	1.14	['27162', '35618', '24828', '25698', '33659', '22728', '36963', '33655', '33832', '27171', '38101', '38180', '36962', '25806', '33595', '72695', '33672', '38166', '24532', '35352', '33833', '33285', '33304', '25367', '50860', '33636', '5686', '24532', '33671', '33285', '33832', '51143', '33659', '50860', '33675', '36357', '33582', '33595', '33285', '5686', '33832', '33635', '50860', '72695', '33302', '33655', '33582', '33579', '23367', '33675', '25367', '50860', '33595', '72695', '33582', '33675', '23367', '24431', '33579', '36357', '33582', '25367', '50860', '33675', '33579', '24431', '23367', '23367', '33675', '36357', '33582', '33579', '24431', '24431', '33579', '23367', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
2168	2	4	6-Acetylmorphine	327.375	1.49	['25418', '24921', '22315', '35352', '33285', '51143', '50860', '33302', '33582', '33675', '33675', '33579', '33579', '23367', '23367', '24431', '24431']
2197	1	2	6-hydroxyluteolin	302.23570	2.37	['25883', '24698', '24043', '33822', '47916', '24651', '50860', '72544', '25806', '33608', '37577', '33582', '50860', '25806', '33304', '33674', '36357', '33675', '33582', '33304', '33675', '33579', '23367', '33675', '33579', '23367', '24431', '33579', '23367', '24431', '23367', '24431', '24431']
2312	1	2	8-Bromoadenosine	346.137	-0.401	['26394', '33838', '26401', '21731', '26912', '61120', '35875', '35352', '63161', '63299', '38104', '25693', '51143', '33833', '27171', '38101', '33285', '51143', '63299', '78616', '24532', '36963', '33670', '33302', '33659', '33672', '38166', '35352', '50860', '33302', '78616', '36963', '33285', '5686', '33832', '36962', '25806', '33661', '33675', '33655', '33636', '24532', '33671', '51143', '33582', '33675', '36963', '36962', '25806', '50860', '33595', '72695', '33285', '33304', '33579', '5686', '33832', '33635', '33302', '33675', '33579', '36962', '25806', '33285', '33304', '33582', '25367', '50860', '23367', '33595', '72695', '33579', '23367', '33285', '33304', '50860', '33675', '36357', '33582', '24431', '25367', '23367', '24431', '50860', '33675', '33582', '33579', '36357', '24431', '33582', '33579', '33675', '23367', '33675', '23367', '33579', '24431', '33579', '24431', '23367', '23367', '24431', '24431']
2365	7	7	(+)-abscisic acid	264.31690	1.3	['22152', '62431', '36758', '79020', '134397', '26658', '53183', '25384', '134361', '26878', '26873', '24913', '33575', '30879', '78840', '24913', '18059', '50860', '36586', '35605', '64709', '33822', '18059', '50860', '33582', '36587', '36963', '24833', '24651', '50860', '33582', '33675', '72695', '36962', '25806', '24651', '33608', '37577', '33582', '33675', '33579', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33674', '36357', '33675', '33579', '23367', '33582', '36357', '50860', '33304', '33674', '33579', '23367', '24431', '33675', '33582', '23367', '24431', '33579', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
2404	3	4	acetosyringone	196.19988	1.43	['22187', '51681', '33853', '76224', '51867', '51683', '33659', '33822', '17087', '35618', '22712', '33655', '33832', '24651', '50860', '36586', '25698', '33659', '33836', '33595', '72695', '25806', '33608', '37577', '33582', '36587', '36963', '33655', '33832', '33659', '33598', '25367', '50860', '33304', '33674', '36357', '33675', '72695', '36962', '25806', '33595', '33655', '33832', '33597', '36357', '33582', '33675', '33579', '23367', '50860', '25367', '33285', '33304', '33595', '72695', '23367', '33675', '33579', '24431', '33582', '36357', '50860', '33675', '25367', '24431', '33579', '23367', '33675', '23367', '33582', '33579', '36357', '24431', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
2422	2	3	acetohydrazide	74.08192	-1.37	['35363', '35362', '35352', '51143', '33285', '33302', '50860', '33675', '33582', '33579', '33675', '23367', '33579', '24431', '23367', '24431']
2430	2	3	aconitine	645.73712	1.97	['23849', '26873', '24913', '18059', '50860', '50860', '33582', '33582', '33675', '33675', '33579', '33579', '23367', '23367', '24431', '24431']
2448	4	6	actinorhodin	634.54044	2.97	['48129', '26188', '35692', '26195', '36820', '25830', '36141', '25807', '26188', '36963', '131927', '33575', '33853', '33595', '3992', '24531', '36963', '36962', '25806', '36586', '35605', '64709', '33659', '33822', '25367', '17087', '24532', '36962', '25806', '33285', '33304', '36587', '36963', '24833', '50860', '33655', '33832', '24651', '36357', '36586', '33285', '5686', '33832', '33304', '50860', '33675', '72695', '36962', '25806', '24651', '33582', '33595', '33608', '37577', '23367', '36587', '36963', '50860', '33595', '72695', '33675', '33582', '33579', '25367', '33285', '33304', '25806', '33608', '37577', '33674', '36357', '24431', '72695', '36962', '25806', '33582', '25367', '50860', '33579', '33675', '23367', '36357', '33304', '33674', '50860', '25367', '33285', '33304', '33675', '36357', '33582', '23367', '33579', '24431', '33582', '36357', '50860', '33675', '33579', '23367', '24431', '33675', '23367', '33582', '33579', '24431', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
2504	5	6	aflatoxin B1	312.27358	2.27	['22271', '35618', '76224', '48210', '25698', '33659', '17087', '38164', '38104', '36963', '33655', '33832', '36586', '38166', '24532', '36963', '36962', '25806', '33595', '72695', '36587', '24532', '33671', '33285', '5686', '33832', '36962', '25806', '33304', '25367', '50860', '72695', '33285', '5686', '33832', '33635', '50860', '33595', '72695', '33304', '33675', '36357', '33582', '25367', '50860', '33595', '72695', '33582', '25367', '33675', '33579', '23367', '36357', '33582', '25367', '50860', '33675', '36357', '33579', '23367', '24431', '33675', '36357', '33582', '33579', '23367', '24431', '33579', '23367', '33675', '24431', '23367', '24431', '33579', '24431', '23367', '24431']
2524	1	2	ajmalicine	352.428	3.12	['65323', '25248', '38164', '65321', '33308', '38166', '38958', '36586', '35701', '24532', '33671', '22315', '36587', '36963', '33285', '5686', '33832', '33635', '35352', '72695', '36962', '25806', '50860', '33595', '33285', '51143', '50860', '25367', '33304', '33582', '50860', '33302', '33582', '36357', '33675', '33582', '33675', '23367', '33579', '33675', '33579', '24431', '23367', '33579', '23367', '24431', '23367', '24431', '24431']
2549	1	1	albuterol	239.31070	0.184	['25990', '50995', '33853', '23981', '50047', '33659', '33822', '22478', '35352', '50860', '33655', '33832', '24651', '30879', '50047', '33285', '51143', '33582', '33595', '72695', '25806', '33608', '37577', '33822', '35352', '50860', '33302', '33675', '25367', '33304', '33674', '36357', '24651', '50860', '33285', '51143', '33582', '33675', '33579', '36357', '23367', '25806', '33608', '37577', '33582', '50860', '33302', '33675', '33579', '23367', '24431', '33304', '33674', '36357', '33675', '33582', '33579', '23367', '24431', '33675', '33579', '23367', '24431', '33579', '23367', '24431', '23367', '24431', '24431']
2564	2	3	aldrin	364.91000	6.1	['25705', '36683', '38656', '17792', '23117', '36683', '33285', '37578', '24471', '17792', '23117', '50860', '24471', '37577', '33675', '33285', '37578', '24471', '33582', '33675', '36357', '33579', '50860', '24471', '37577', '33675', '33579', '23367', '33582', '33675', '36357', '33579', '23367', '24431', '33675', '33579', '23367', '24431', '33579', '23367', '24431', '23367', '24431', '24431']
2618	1	1	amantadine	151.24870	2.42	['17062', '51339', '32877', '35294', '50994', '32952', '33598', '35295', '50047', '33597', '33832', '33635', '35352', '50860', '33595', '72695', '33285', '51143', '33582', '25367', '50860', '50860', '33302', '33675', '36357', '33582', '33582', '33675', '33579', '23367', '33675', '33579', '23367', '24431', '33579', '23367', '24431', '23367', '24431', '24431']
2622	1	2	amarogentin	586.54070	1.45	['50274', '63367', '139166', '61777', '63299', '50563', '26873', '24400', '78616', '25409', '24913', '63161', '36963', '26873', '18059', '50860', '63299', '36962', '25806', '24913', '50860', '33582', '78616', '33285', '33304', '18059', '50860', '33582', '33675', '36963', '50860', '33582', '33675', '33579', '36962', '25806', '33582', '33675', '33579', '23367', '33285', '33304', '33675', '33579', '23367', '24431', '50860', '33579', '23367', '24431', '33582', '23367', '24431', '33675', '24431', '33579', '23367', '24431']
2663	1	1	amiodarone	645.31160	7.11	['38830', '37142', '76224', '50996', '35259', '17792', '24860', '17087', '50047', '38104', '38166', '33285', '37578', '24471', '36586', '35352', '50860', '24532', '36963', '33671', '50860', '24471', '37577', '33675', '36587', '33285', '51143', '33582', '33285', '5686', '33832', '36962', '25806', '33635', '33582', '33675', '36357', '33579', '72695', '50860', '33302', '50860', '33595', '72695', '33285', '33304', '33675', '33579', '23367', '25367', '33582', '33582', '25367', '50860', '33675', '33579', '23367', '24431', '36357', '33675', '36357', '33582', '33579', '23367', '24431', '33579', '23367', '33675', '24431', '23367', '24431', '33579', '24431', '23367', '24431']
2672	1	2	Ammothamnine	264.364	0.598	['22315', '134363', '35352', '35580', '33285', '51143', '25741', '50860', '33302', '25806', '37577', '33582', '33675', '33304', '36357', '33675', '33579', '23367', '33579', '23367', '24431', '23367', '24431', '24431']
2696	2	3	Anacardic acid	348.520	8.05	['24676', '33853', '22723', '33659', '33822', '22712', '33859', '33655', '33832', '24651', '50860', '33836', '33575', '33659', '33595', '72695', '25806', '33608', '37577', '33582', '33659', '33598', '36586', '35605', '64709', '33655', '33832', '25367', '50860', '33304', '33674', '36357', '33675', '33655', '33832', '33597', '36587', '36963', '24833', '33595', '72695', '36357', '33582', '33675', '33579', '23367', '33595', '72695', '36962', '25806', '24651', '25367', '50860', '23367', '33675', '33579', '24431', '25367', '50860', '33285', '33304', '25806', '33608', '37577', '36357', '33582', '24431', '33579', '23367', '36357', '33582', '50860', '33675', '33304', '33674', '23367', '24431', '33675', '33582', '33579', '24431', '33579', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
2700	13	16	anandamide	347.536	5.98	['15897', '67197', '85281', '134161', '52640', '29348', '67194', '18059', '15734', '23981', '61697', '18059', '29347', '36963', '50860', '30879', '22478', '50860', '37622', '36962', '25806', '33582', '33822', '30879', '50047', '33582', '36963', '35352', '33256', '33285', '33304', '33675', '24651', '50860', '33822', '35352', '33675', '36962', '25806', '33285', '51143', '32988', '33579', '25806', '33608', '37577', '33582', '24651', '50860', '33285', '51143', '33579', '33304', '33302', '23367', '33304', '33674', '36357', '33675', '25806', '33608', '37577', '33582', '50860', '33302', '23367', '24431', '33675', '33579', '23367', '33304', '33674', '36357', '33582', '24431', '33579', '23367', '24431', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
2790	5	7	apramycin	539.57710	-1.68	['61800', '27171', '47779', '61689', '33672', '38166', '24400', '63299', '23451', '33636', '5686', '24532', '33671', '63161', '78616', '26191', '33595', '33285', '5686', '33832', '33635', '63299', '36963', '33822', '25367', '50860', '33595', '72695', '78616', '36962', '25806', '24651', '50860', '36357', '33582', '25367', '36963', '33285', '33304', '25806', '33608', '37577', '33582', '23367', '33675', '36357', '36962', '50860', '33304', '33674', '36357', '33675', '24431', '33579', '23367', '33285', '33582', '33675', '33579', '23367', '24431', '50860', '33579', '23367', '24431', '33582', '23367', '24431', '33675', '24431', '33579', '23367', '24431']
2877	1	1	aspartame	294.304	-2.12	['46761', '33575', '25248', '25676', '36586', '35605', '64709', '33308', '16670', '36587', '36963', '24833', '50860', '36586', '35701', '37622', '50047', '72695', '36962', '25806', '24651', '33582', '36587', '36963', '36963', '35352', '33256', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33675', '72695', '36962', '36962', '25806', '33285', '51143', '32988', '33582', '36357', '50860', '33675', '33304', '33674', '33579', '25367', '33285', '33304', '50860', '33302', '51143', '33675', '23367', '33582', '33579', '36357', '50860', '33675', '33582', '33302', '33579', '24431', '23367', '33582', '33579', '33675', '23367', '24431', '33675', '23367', '33579', '24431', '33579', '24431', '23367', '23367', '24431', '24431']
2879	7	15	Aspergillic acid	224.300	1.7	['38314', '38313', '25693', '38101', '24532', '33670', '35352', '33285', '5686', '33832', '33661', '51143', '50860', '33595', '72695', '33302', '33582', '25367', '50860', '33675', '33675', '36357', '33582', '33579', '33579', '23367', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
2899	1	2	trans-astringin	406.38330	0.944	['26195', '26776', '22798', '63367', '33853', '78840', '33659', '35436', '60980', '63299', '33659', '33822', '50860', '33655', '33832', '24278', '78616', '33655', '33832', '24651', '50860', '33582', '33595', '72695', '35313', '36963', '33595', '72695', '25806', '33608', '37577', '33582', '33675', '25367', '50860', '24400', '36962', '25367', '50860', '33304', '33674', '36357', '33675', '33579', '33582', '63161', '33285', '36357', '33582', '33675', '33579', '23367', '63299', '50860', '23367', '33675', '33579', '24431', '78616', '33582', '24431', '33579', '23367', '36963', '33675', '23367', '24431', '36962', '25806', '33579', '24431', '33285', '33304', '23367', '50860', '33675', '24431', '33582', '33579', '33675', '23367', '33579', '24431', '23367', '24431']
2922	8	12	auranofin	678.48400	3.43	['33971', '35275', '33969', '33861', '63161', '63299', '73754', '59793', '33745', '33240', '33497', '63299', '78616', '33261', '59792', '33676', '33497', '37577', '23367', '78616', '36963', '36962', '26835', '33261', '33497', '23367', '36357', '24431', '36963', '36962', '25806', '33285', '33304', '26835', '23367', '24431', '36962', '25806', '33285', '33304', '50860', '33675', '24431', '33285', '33304', '50860', '33675', '33582', '33579', '50860', '33675', '33582', '33579', '23367', '33582', '33579', '33675', '23367', '24431', '33675', '23367', '33579', '24431', '33579', '24431', '23367', '23367', '24431', '24431']
