ChEBI	Count	TFIDF	Names	Mass	logP	Class
74	3	5	(S)-anabasine	162.23164	0.957	['28986', '26147', '26416', '26151', '22315', '26421', '38101', '25693', '35352', '24532', '35352', '33670', '33285', '51143', '33285', '5686', '33832', '51143', '33661', '50860', '33302', '50860', '33595', '72695', '33302', '33582', '33675', '33582', '25367', '50860', '33675', '33579', '33675', '36357', '33582', '33579', '23367', '33579', '23367', '33675', '24431', '23367', '24431', '33579', '24431', '23367', '24431']
113	131	251	(-)-Salsolinol	179.216	1.19	['24922', '38101', '38166', '24532', '35352', '33671', '33285', '5686', '33832', '51143', '33635', '50860', '33595', '72695', '33302', '33582', '25367', '50860', '33675', '33675', '36357', '33582', '33579', '33579', '23367', '33675', '23367', '24431', '33579', '24431', '23367', '24431']
371	8	14	(S)-1-pyrroline-5-carboxylic acid	113.11460	0.621	['1372', '19098', '25384', '23763', '33575', '25693', '38101', '36586', '35605', '64709', '24532', '33670', '35352', '36587', '36963', '24833', '50860', '33285', '5686', '33832', '33661', '51143', '72695', '36962', '25806', '24651', '33582', '50860', '33595', '33302', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33675', '33582', '33582', '36357', '50860', '33675', '33304', '33674', '33579', '33675', '23367', '33582', '33579', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
422	6	10	(S)-lactic acid	90.07794	-0.653	['78320', '17375', '49302', '35868', '25384', '24669', '33575', '33822', '36586', '35605', '64709', '24651', '50860', '36587', '36963', '24833', '50860', '25806', '33608', '37577', '33582', '72695', '36962', '25806', '24651', '33582', '33304', '33674', '36357', '33675', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33675', '33579', '23367', '33582', '36357', '50860', '33675', '33304', '33674', '33579', '23367', '24431', '33675', '23367', '33582', '33579', '24431', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
771	1	3	16alpha-hydroxypregnenolone	332.47698	2.94	['36730', '16799', '1722', '61313', '17087', '36885', '1722', '36840', '36836', '35341', '36586', '35789', '36836', '35350', '36834', '35681', '51958', '18059', '36587', '36963', '17087', '35341', '36834', '35681', '33822', '35350', '30879', '33832', '33635', '50860', '72695', '36962', '25806', '36586', '51958', '18059', '35350', '30879', '24651', '33822', '35341', '72695', '33595', '33582', '50860', '25367', '33285', '33304', '36587', '36963', '33832', '33635', '33822', '35341', '25806', '33608', '37577', '24651', '51958', '18059', '50860', '25367', '33675', '33582', '36357', '72695', '36962', '25806', '33595', '24651', '51958', '18059', '33304', '33674', '33608', '37577', '33832', '33635', '33582', '36357', '33579', '33675', '23367', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33832', '33635', '33674', '72695', '33595', '33675', '23367', '33579', '24431', '33582', '36357', '50860', '33304', '33674', '72695', '33595', '25367', '33579', '24431', '23367', '33675', '33582', '50860', '25367', '36357', '23367', '24431', '33579', '33675', '33582', '36357', '24431', '23367', '33579', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
955	1	2	2,6-dimethoxyphenol	154.16320	1.16	['33853', '51681', '33659', '33822', '51683', '33655', '33832', '24651', '50860', '35618', '22712', '33595', '72695', '25806', '33608', '37577', '33582', '25698', '33659', '33836', '25367', '50860', '33304', '33674', '36357', '33675', '36963', '33655', '33832', '33659', '33598', '36357', '33582', '33675', '33579', '23367', '36962', '25806', '33595', '72695', '33655', '33832', '33597', '23367', '33675', '33579', '24431', '33285', '33304', '25367', '50860', '33595', '72695', '24431', '33579', '23367', '50860', '33675', '36357', '33582', '25367', '23367', '24431', '33582', '33579', '33675', '36357', '24431', '33675', '23367', '33579', '33579', '24431', '23367', '23367', '24431', '24431']
982	10	24	2-Aceto-2-hydroxybutanoate	146.141	-0.252	['24654', '35868', '35366', '25384', '24669', '18059', '33575', '33822', '50860', '36586', '35605', '64709', '24651', '50860', '33582', '36587', '36963', '24833', '50860', '25806', '33608', '37577', '33582', '33675', '72695', '36962', '25806', '24651', '33582', '33304', '33674', '36357', '33675', '33579', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33675', '33579', '23367', '33582', '36357', '50860', '33675', '33304', '33674', '33579', '23367', '24431', '33675', '23367', '33582', '33579', '24431', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
991	1	2	2-amino-2-methylpropane-1,3-diol	105.13568	-0.786	['22501', '22478', '23824', '30879', '50047', '26191', '33822', '35352', '50860', '24651', '50860', '33285', '51143', '33582', '25806', '33608', '37577', '33582', '50860', '33302', '33675', '33304', '33674', '36357', '33675', '33582', '33579', '33675', '33579', '23367', '33579', '23367', '24431', '23367', '24431', '24431']
995	1	2	cis,cis-2-amino-3-(3-oxoprop-1-enyl)but-2-enedioic acid	185.13422	-0.47	['19448', '36164', '36145', '38436', '83925', '35692', '33709', '25754', '26643', '83820', '33704', '131927', '33575', '50047', '17478', '25384', '33709', '36586', '35605', '64709', '35352', '50860', '33575', '50047', '36587', '36963', '24833', '50860', '33285', '51143', '33582', '36586', '35605', '64709', '35352', '72695', '36962', '25806', '24651', '33582', '50860', '33302', '33675', '36587', '36963', '24833', '33285', '51143', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33675', '33582', '33579', '72695', '36962', '24651', '33302', '33582', '36357', '50860', '33675', '33304', '33674', '33579', '23367', '25367', '33285', '25806', '33608', '37577', '33675', '23367', '33582', '33579', '24431', '36357', '50860', '33304', '33674', '33579', '24431', '33675', '23367', '33582', '23367', '33579', '24431', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
1014	2	5	2-Aminoadenosine	282.256	-0.779	['26394', '33838', '26401', '21731', '26912', '61120', '35875', '35352', '63161', '63299', '38104', '25693', '51143', '33833', '27171', '38101', '33285', '51143', '63299', '78616', '24532', '36963', '33670', '33302', '33659', '33672', '38166', '35352', '50860', '33302', '78616', '36963', '33285', '5686', '33832', '36962', '25806', '33661', '33675', '33655', '33636', '24532', '33671', '51143', '33582', '33675', '36963', '36962', '25806', '50860', '33595', '72695', '33285', '33304', '33579', '5686', '33832', '33635', '33302', '33675', '33579', '36962', '25806', '33285', '33304', '33582', '25367', '50860', '23367', '33595', '72695', '33579', '23367', '33285', '33304', '50860', '33675', '36357', '33582', '24431', '25367', '23367', '24431', '50860', '33675', '33582', '33579', '36357', '24431', '33582', '33579', '33675', '23367', '33675', '23367', '33579', '24431', '33579', '24431', '23367', '23367', '24431', '24431']
1019	1	3	N-(2-phosphonoethyl)cholamide	515.61970	1.25	['29347', '37622', '36963', '35352', '33256', '36962', '25806', '33285', '51143', '32988', '33285', '33304', '50860', '33302', '51143', '50860', '33675', '33582', '33302', '33582', '33579', '33675', '33675', '23367', '33579', '33579', '24431', '23367', '23367', '24431', '24431']
1148	1	2	2-hydroxybutyric acid	104.10450	-0.172	['24684', '49302', '24654', '35868', '35868', '35366', '25384', '24669', '25384', '24669', '18059', '33575', '33822', '33575', '33822', '50860', '36586', '35605', '64709', '24651', '36586', '35605', '64709', '24651', '50860', '33582', '36587', '36963', '24833', '25806', '33608', '37577', '36587', '36963', '24833', '50860', '25806', '33608', '37577', '33582', '33675', '72695', '36962', '24651', '33304', '33674', '36357', '72695', '36962', '25806', '24651', '33582', '33304', '33674', '36357', '33675', '33579', '50860', '25367', '33285', '33608', '37577', '23367', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33675', '33579', '23367', '33582', '36357', '33674', '24431', '33582', '36357', '50860', '33675', '33304', '33674', '33579', '23367', '24431', '33675', '23367', '33582', '33579', '24431', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
1156	2	4	2-hydroxyestrone	286.36548	3.04	['36857', '33566', '35350', '33570', '33822', '35341', '33853', '24651', '50860', '51958', '18059', '33659', '33822', '25806', '33608', '37577', '33582', '33832', '33635', '50860', '33655', '24651', '33304', '33674', '36357', '33675', '72695', '33595', '33582', '25806', '33608', '37577', '33675', '33579', '23367', '50860', '25367', '33304', '33674', '36357', '33579', '23367', '24431', '33582', '36357', '33675', '23367', '24431', '33675', '33579', '24431', '33579', '23367', '23367', '24431', '24431']
1189	1	2	2-methoxyestrone	300.39206	3.51	['36834', '19168', '36132', '33853', '35618', '35350', '35789', '3992', '33659', '33822', '25698', '33822', '35341', '17087', '33655', '33832', '24651', '50860', '36963', '24651', '50860', '51958', '18059', '36586', '33595', '72695', '25806', '33608', '37577', '33582', '36962', '25806', '33608', '37577', '33582', '33832', '33635', '50860', '36587', '36963', '25367', '33304', '33674', '36357', '33675', '33285', '33304', '33674', '36357', '33675', '72695', '33595', '33582', '36962', '25806', '33579', '23367', '50860', '33675', '33579', '23367', '50860', '25367', '33285', '33304', '24431', '33582', '33579', '23367', '24431', '33582', '36357', '50860', '33675', '23367', '24431', '33675', '33582', '33579', '24431', '33579', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
1196	3	9	2-Methylaminoadenosine	296.283	-0.22	['26394', '33838', '26401', '21731', '26912', '61120', '35875', '35352', '63161', '63299', '38104', '25693', '51143', '33833', '27171', '38101', '33285', '51143', '63299', '78616', '24532', '36963', '33670', '33302', '33659', '33672', '38166', '35352', '50860', '33302', '78616', '36963', '33285', '5686', '33832', '36962', '25806', '33661', '33675', '33655', '33636', '24532', '33671', '51143', '33582', '33675', '36963', '36962', '25806', '50860', '33595', '72695', '33285', '33304', '33579', '5686', '33832', '33635', '33302', '33675', '33579', '36962', '25806', '33285', '33304', '33582', '25367', '50860', '23367', '33595', '72695', '33579', '23367', '33285', '33304', '50860', '33675', '36357', '33582', '24431', '25367', '23367', '24431', '50860', '33675', '33582', '33579', '36357', '24431', '33582', '33579', '33675', '23367', '33675', '23367', '33579', '24431', '33579', '24431', '23367', '23367', '24431', '24431']
1372	1	2	1-pyrroline-5-carboxylic acid	113.11460	0.621	['19098', '25384', '23763', '33575', '25693', '38101', '36586', '35605', '64709', '24532', '33670', '35352', '36587', '36963', '24833', '50860', '33285', '5686', '33832', '33661', '51143', '72695', '36962', '25806', '24651', '33582', '50860', '33595', '33302', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33675', '33582', '33582', '36357', '50860', '33675', '33304', '33674', '33579', '33675', '23367', '33582', '33579', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
1387	5	10	3,4-dihydroxyphenylethyleneglycol	170.16260	-0.711	['33566', '33573', '33570', '26191', '33853', '33822', '33659', '33822', '24651', '50860', '33655', '33832', '24651', '50860', '25806', '33608', '37577', '33582', '33595', '72695', '25806', '33608', '37577', '33582', '33304', '33674', '36357', '33675', '25367', '50860', '33304', '33674', '36357', '33675', '33579', '23367', '36357', '33582', '33675', '33579', '23367', '24431', '23367', '33675', '33579', '24431', '24431', '33579', '23367', '23367', '24431', '24431']
1427	2	4	3-(3-hydroxyphenyl)propanoic acid	166.17390	1.29	['25384', '33575', '36586', '35605', '64709', '36587', '36963', '24833', '50860', '72695', '36962', '25806', '24651', '33582', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '33675', '33582', '36357', '50860', '33675', '33304', '33674', '33579', '33675', '23367', '33582', '33579', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
1547	19	32	3-hydroxykynurenine	224.21336	-2.23	['86497', '48975', '24662', '22562', '83925', '33860', '22712', '83820', '33704', '33659', '50047', '33836', '33709', '33655', '33832', '35352', '50860', '33659', '33598', '50047', '33575', '33595', '72695', '33285', '51143', '33582', '33655', '33832', '33597', '35352', '50860', '36586', '35605', '64709', '25367', '50860', '33302', '33675', '33595', '72695', '33285', '51143', '33582', '36587', '36963', '24833', '36357', '33582', '33675', '33579', '25367', '50860', '33302', '72695', '36962', '25806', '24651', '23367', '33675', '33579', '36357', '33582', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '24431', '33579', '23367', '33675', '33582', '36357', '50860', '33304', '33674', '23367', '24431', '33579', '33675', '33582', '24431', '23367', '33579', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
1556	1	2	3-Hydroxystachydrine	159.183	-2.55	['22860', '35284', '83821', '35281', '26469', '35352', '27369', '35352', '33285', '51143', '51151', '33285', '51143', '50860', '33302', '72695', '50860', '33302', '33582', '33675', '50860', '25367', '33582', '33675', '33579', '33582', '36357', '33675', '33579', '23367', '33675', '23367', '33579', '24431', '33579', '24431', '23367', '23367', '24431', '24431']
1576	4	9	3-Methoxy-4-hydroxyphenylethyleneglycol	184.190	-0.216	['33853', '51683', '33659', '33822', '35618', '22712', '33655', '33832', '24651', '50860', '25698', '33659', '33836', '33595', '72695', '25806', '33608', '37577', '33582', '36963', '33655', '33832', '33659', '33598', '25367', '50860', '33304', '33674', '36357', '33675', '36962', '25806', '33595', '72695', '33655', '33832', '33597', '36357', '33582', '33675', '33579', '23367', '33285', '33304', '25367', '50860', '33595', '72695', '23367', '33675', '33579', '24431', '50860', '36357', '33582', '25367', '24431', '33579', '23367', '33582', '33675', '36357', '23367', '24431', '33675', '33579', '24431', '33579', '23367', '23367', '24431', '24431']
1580	1	2	3-Methoxybenzyl alcohol	138.164	1.08	['51683', '35618', '22712', '25698', '33659', '33836', '36963', '33655', '33832', '33659', '33598', '36962', '25806', '33595', '72695', '33655', '33832', '33597', '33285', '33304', '25367', '50860', '33595', '72695', '50860', '33675', '36357', '33582', '25367', '33582', '33579', '23367', '33675', '36357', '33675', '23367', '24431', '33579', '33579', '24431', '23367', '23367', '24431', '24431']
1582	5	9	3-methoxytyramine	167.205	0.37	['51683', '33853', '35618', '22712', '33659', '33822', '25698', '33659', '33836', '33655', '33832', '24651', '50860', '36963', '33655', '33832', '33659', '33598', '33595', '72695', '25806', '33608', '37577', '33582', '36962', '25806', '33595', '72695', '33655', '33832', '33597', '25367', '50860', '33304', '33674', '36357', '33675', '33285', '33304', '25367', '50860', '33595', '72695', '36357', '33582', '33675', '33579', '23367', '50860', '33675', '36357', '33582', '25367', '23367', '33579', '24431', '33582', '33579', '23367', '33675', '36357', '24431', '33675', '23367', '24431', '33579', '33579', '24431', '23367', '23367', '24431', '24431']
1712	4	7	3alpha-hydroxy-5beta-pregnan-20-one	318.49350	4.5	['50171', '36835', '50168', '36834', '35681', '36885', '36834', '61313', '35350', '30879', '35789', '35350', '35341', '33822', '17087', '35341', '33822', '51958', '18059', '24651', '50860', '36586', '51958', '18059', '24651', '50860', '33832', '33635', '25806', '33608', '37577', '33582', '36587', '36963', '33832', '33635', '50860', '25806', '33608', '37577', '33582', '72695', '33595', '33304', '33674', '36357', '33675', '72695', '36962', '25806', '33595', '33582', '33304', '33674', '36357', '33675', '50860', '25367', '33579', '23367', '50860', '25367', '33285', '33304', '33675', '33579', '23367', '33582', '36357', '24431', '33582', '36357', '50860', '33675', '33579', '23367', '24431', '33675', '23367', '33582', '33579', '24431', '33579', '24431', '33675', '23367', '23367', '33579', '24431', '24431', '23367', '24431']
1848	1	3	4-hydroxy-4-methylglutamate	177.15520	-3.62	['83822', '36164', '26878', '15705', '83925', '35692', '33709', '30879', '33704', '83820', '131927', '33575', '50047', '33822', '33709', '36586', '35605', '64709', '35352', '50860', '24651', '50047', '33575', '36587', '36963', '24833', '50860', '33285', '51143', '33582', '25806', '33608', '37577', '35352', '50860', '36586', '35605', '64709', '72695', '36962', '25806', '24651', '33582', '33302', '33675', '33304', '33674', '36357', '33285', '51143', '33582', '36587', '36963', '24833', '50860', '25367', '33304', '25806', '33608', '37577', '33675', '33579', '23367', '50860', '33302', '33675', '72695', '36962', '25806', '24651', '33582', '36357', '33304', '33674', '33579', '23367', '24431', '33582', '33675', '33579', '50860', '25367', '33285', '33304', '25806', '33608', '37577', '23367', '24431', '33675', '33579', '23367', '33582', '36357', '50860', '33304', '33674', '24431', '33579', '23367', '24431', '33675', '33582', '23367', '24431', '33579', '33675', '24431', '23367', '33579', '24431', '23367', '24431']
1879	2	3	2-(4-hydroxyphenyl)ethanol	138.16380	1.02	['33853', '33659', '33822', '33655', '33832', '24651', '50860', '33595', '72695', '25806', '33608', '37577', '33582', '25367', '50860', '33304', '33674', '36357', '33675', '36357', '33582', '33675', '33579', '23367', '23367', '33675', '33579', '24431', '24431', '33579', '23367', '23367', '24431', '24431']
1883	3	5	4-hydroxystyrene	120.14852	2.58	['33853', '33659', '33822', '33655', '33832', '24651', '50860', '33595', '72695', '25806', '33608', '37577', '33582', '25367', '50860', '33304', '33674', '36357', '33675', '36357', '33582', '33675', '33579', '23367', '23367', '33675', '33579', '24431', '24431', '33579', '23367', '23367', '24431', '24431']
1941	1	2	4-(trimethylammonio)butanoic acid	146.20748	-3.08	['35267', '35274', '25697', '51143', '33702', '25699', '36916', '33302', '36916', '36358', '50860', '24870', '33675', '24870', '36357', '33582', '23367', '33579', '23367', '33675', '24431', '23367', '24431', '33579', '24431', '23367', '24431']
